学时,学分,课程名,上课教师,选课人数,上课班级,已排时间地点,课程容量,结课周次,结课星期,上课年级,上课专业,开课周次,开课星期,是否校公选课,课程号,课序号,开课单位,教师号,学校校区,校公选课类别,教室类型,选课课号,课程类别,调课结果,本研标志,课程性质,上课座位数
48,3,结构力学A,孟军辉,,"01112201,01112202,2022级-未来精工技术 2022版培养方案-智能无人飞行器设计方向01班","12-19周 星期一 3-5节 文萃楼I604,12-19周 星期三 8-10节 文萃楼I604",65,19,星期三,2022级,"飞行器设计与工程, 未来精工技术",12,1,否,100015106,01,宇航学院,6120170114,良乡校区,,,20242025110001510601,专业基础课程,,本科生,必修,100
48,3,结构力学A,刘莉,,01232201,"12-19周 星期一 3-5节 综教B201,12-19周 星期四 3-5节 综教B201",30,19,星期四,2022级,武器发射工程,12,1,否,100015106,02,宇航学院,6120100029,良乡校区,,,20242025110001510602,专业课,,本科生,必修,93
48,3,空气动力学A,雷娟棉,,"01062201,01112201,01112202,01712201,2022级-未来精工技术 2022版培养方案-智能无人飞行器设计方向01班","12-19周 星期一 8-10节 文萃楼F502,12-19周 星期五 3-5节 文萃楼F502",106,19,星期五,2022级,"飞行器设计与工程, 探测制导与控制技术（01）, 未来精工技术, 航空宇航与智能飞行器技术（徐特立英才班）",12,1,否,100015113,01,宇航学院,6120103274,良乡校区,,,20242025110001511301,专业基础课程,,本科生,必修,121
48,3,航天器姿态动力学与控制A,"张景瑞,杨科莹",,01132201,"4-11周 星期一 3-5节 综教A206,4-11周 星期四 3-5节 理教楼208",30,11,星期四,2022级,航空航天工程,4,1,否,100015117,01,宇航学院,"6120103915,6120220154",良乡校区,,,20242025110001511701,专业课,,本科生,必修,157
48,3,微机原理及应用A,王彦恺,,"01232201,01712201","4-11周 星期一 3-5节 理教楼208,4-11周 星期五 8-10节 理教楼208",60,11,星期五,2022级,"武器发射工程, 探测制导与控制技术（01）",4,1,否,100015122,01,宇航学院,6120104732,良乡校区,,,20242025110001512201,专业课,,本科生,必修,157
48,3,现代设计方法A,宋晓东,,01232201,"4-11周 星期二 8-10节 综教B503,4-11周 星期五 3-5节 综教B503",30,11,星期五,2022级,武器发射工程,4,2,否,100015123,01,宇航学院,6120104688,良乡校区,,,20242025110001512301,专业课,,本科生,选修,94
40,2.5,嵌入式系统原理,刘永善,,01712201,"12-19周 星期一 3-5节 综教B303,12-19周 星期三 6-7节 综教B303",30,19,星期三,2022级,探测制导与控制技术（01）,12,1,否,100016026,01,宇航学院,6120100023,良乡校区,,,20242025110001602601,专业课,,本科生,必修,93
40,2.5,控制系统分析与设计,张欢,,01712201,"12-17周 星期三 8-10节 综教B301,12-17周 星期五 8-10节 综教B301,18周 星期一 1-2节 综教B301,18周 星期四 6-7节 综教B301",30,18,星期四,2022级,探测制导与控制技术（01）,12,3,否,100016027,01,宇航学院,6120230057,良乡校区,,,20242025110001602701,专业课,,本科生,选修,93
48,3,航空航天测试技术,王文杰,,01232201,"4-11周 星期二 3-5节 综教A504,4-11周 星期四 8-10节 综教A504",30,11,星期四,2022级,武器发射工程,4,2,否,100016038,01,宇航学院,6120200030,良乡校区,,,20242025110001603801,专业课,,本科生,必修,161
48,3,航天器发射技术,郝继光,,01232201,"4-11周 星期一 3-5节 理教楼205,4-11周 星期五 8-10节 理教楼205",30,11,星期五,2022级,武器发射工程,4,1,否,100016046,01,宇航学院,6120104354,良乡校区,,,20242025110001604601,专业课,,本科生,必修,184
64,2,面向学-研-赛-用一体的创新实践,"宋韬,范世鹏",,2022级-未来精工技术 2022版培养方案-智能无人飞行器设计方向01班,"1周 星期一 2-9节 理教楼209,1周 星期二 2-9节 理教楼209,1周 星期三 2-9节 理教楼209,1周 星期四 2-9节 理教楼209,2周 星期五 2-9节 理教楼209,2周 星期六 2-9节 理教楼209,3周 星期五 2-9节 理教楼209,3周 星期六 2-9节 理教楼209",5,3,星期六,2022级,未来精工技术,1,1,否,100016059,01,宇航学院,"6120160130,6120230037",良乡校区,,,20242025110001605901,实践环节,,本科生,必修,98
48,3,现代控制理论A,王佳楠,,01712201,4-19周 星期三 3-5节 文萃楼M124,30,19,星期三,2022级,探测制导与控制技术（01）,4,3,否,100016133,01,宇航学院,6120140110,良乡校区,,,20242025110001613301,专业基础课程,,本科生,必修,42
64,4,理论力学（全英文）,周春燕,,"02912301,02942301,03912301,03922301,86122301","4-13周 星期一 8-10节 文萃楼I601,4-13周 星期五 8-10节 文萃楼I601,14周 星期二 6-7节 文萃楼I601,14周 星期四 6-7节 文萃楼I601",62,14,星期四,2023级,"机械工程（留学生全英文）, 机械电子工程（全英文教学专业）, 机械工程（全英文教学专业）, 航空航天工程（留学生全英文）, 机械电子工程（留学生全英文）",4,1,否,101013001,01,宇航学院,6120104713,良乡校区,,,20242025110101300101,专业基础课程,,本科生,必修,80
